id,HH,Emo,Ext,Agr,Con,Ope
84482dfb843859c48aa5e086f2fca7cc,34,46,26,31,34,36
84bd193622b8615e3008d9516bae708e,25,38,30,39,23,38
86731764bfd8fb8ed78c380cf0e45997,35,28,29,19,26,32
869c5e5aba94b1b8b3a30bd28e2d2d88,33,39,28,34,30,35
86ffddcf19172610c1326b3adf55d4be,43,24,46,42,39,35
874a424766c86b554da8f7a54b80c968,20,34,28,24,36,31
876b46dd82018d1c50c2f884dd9b7765,42,40,33,41,30,33
878216682ec4be5885ef0ecb120b8a19,38,28,32,31,31,29
87ec8452c485cb9aa09497f902d659fb,36,32,43,35,35,33
88417103dfbf1292e307f869eafeddbc,33,31,31,31,32,34
890d9a69be5d978beb00281294477708,30,24,27,34,32,33
8995a0436333db3dac75260866609d31,12,37,36,28,42,38
89cc676e4b1662d37a9dc20dfc593324,30,35,33,31,30,27
8a1ef04859318c9b9586868185397827,39,35,37,34,38,35
8a415436258d61b8f0cd79d71d40363f,27,34,25,26,25,28
8b1c8d6f7863708fad31dc2f74d67f97,31,36,30,29,38,30
8b239d3a920bd5b56625c5f1067f3ff7,31,36,33,31,30,40
8b47d81928d4da914644d03f46568b8e,31,34,22,18,30,32
8b7db181ae4c538faf2c9e7f070e8285,30,38,29,36,27,29
8bb7d7bb665ef6970a8fc2f0e19a4adf,32,44,24,31,27,31
8c1678318d73717b8e9751c1b14ced91,27,25,28,28,20,19
8c2211d25fa4f1f25c0330a0279f82c6,33,33,21,35,34,35
8cc11140dab8043947c57ef7c3c93cfe,31,46,29,36,28,34
8f705fa33f7516079e4e1e885b43ad9b,24,39,35,34,35,31
8fe546180489dbf0e6d3f275a12f0775,25,39,17,18,35,29
903cc1f251214880ea00a6271f3a502c,25,39,25,32,26,36
90b549b9eb63fedfc2155fc599990548,37,34,30,35,29,29
90b69a4e03d8a80509648c349a9a542f,35,36,35,36,34,32
90e43ccd73fc87d006d0131512f811b3,42,39,39,33,30,37
914092a8fb7c7dfad0726b2998d52ba1,35,40,37,27,32,26
91b38744af99cef8e8a30b815d0d6ec4,34,43,28,34,24,34
92995b668a161d907a032aa09e3f97b5,25,34,37,42,38,36
92a45113236582653013c6de070f9507,40,37,36,35,30,40
930b91383673500164c290fb37c25957,39,40,32,37,26,34
9341dbc187b256244456287f362e172a,25,28,31,30,30,27
94f43589ad64b0797cb55c241cd6e57b,30,38,35,26,26,28
94f9dd8ad5f9ca822d0f93ea1cb4aa96,36,36,34,32,40,33
950506b4dd4d7d8f3810a7a2f9549b70,36,41,26,28,35,33
956ac37a0d8234c91fd1a1272dcd634e,33,39,31,40,30,42
95ed7cb5ee08889554a39553c72c45dc,38,34,36,32,30,30
972c283701a10fa92aa940dede276deb,27,24,31,38,33,33
